Desert,Mountain,Water,Land,Forest,Snow,Average_Temperature,Is_Raining,Had_A_Good_Sleep,Winner,Winner_Time,Second,Second_Time,Third,Third_Time
7376,4387,7769,7374,814,2677,18,Yes,Yes,rat,218,dog,242,dragon,245
7911,5771,4993,1855,9605,283,18,Yes,Yes,tiger,216,snake,224,rat,239
8948,9631,1855,4913,3531,3746,39,Yes,No,ox,191,rabbit,217,horse,240
1735,6643,6066,9976,9119,9912,24,Yes,No,goat,319,rooster,322,horse,334
2001,8287,4062,8763,9751,2820,26,Yes,Yes,horse,255,goat,259,rooster,263
8115,9051,4367,9675,7263,5878,17,Yes,No,horse,329,snake,337,dog,342
2138,9270,5368,2865,4949,2276,39,Yes,No,ox,182,pig,186,dragon,198
8155,7721,9007,5768,5168,5033,25,Yes,Yes,rat,310,tiger,324,snake,326
4415,3236,5604,2869,1997,7939,35,Yes,No,rabbit,164,ox,185,pig,189
7828,8025,1673,755,2593,1665,33,Yes,No,rat,168,snake,170,horse,176
4362,8062,3988,7126,1265,1422,11,Yes,Yes,horse,184,dragon,205,goat,212
5535,9750,6328,6433,4336,3169,33,Yes,No,rat,264,horse,274,dragon,278
8617,5387,7745,6902,6756,351,13,Yes,No,dragon,295,horse,295,monkey,312
44,2921,2846,6577,3196,3968,37,Yes,No,rabbit,106,ox,109,pig,113
8423,1856,6697,4232,264,1061,33,Yes,Yes,rat,158,dog,175,tiger,184
8220,1561,2419,6072,5265,1258,14,Yes,No,horse,194,pig,216,ox,218
9110,2770,768,48,1056,6411,24,Yes,No,dog,145,snake,157,rat,163
5748,2798,2601,9027,3441,6609,38,Yes,No,rabbit,162,ox,163,pig,193
3934,45,1725,5056,8805,1784,16,Yes,No,snake,151,dog,153,tiger,159
8088,5006,982,5867,2097,5843,37,Yes,Yes,ox,155,rabbit,162,pig,202
5557,4509,2895,8631,6324,2104,16,Yes,No,horse,218,snake,225,dog,228
481,8100,210,4770,3008,6273,14,Yes,Yes,goat,134,horse,151,rooster,152
6864,8103,8894,4615,2171,2756,33,Yes,No,rat,242,dragon,252,tiger,266
2632,7735,8865,7136,9073,5519,10,Yes,Yes,monkey,324,goat,326,rooster,328
4493,7201,4263,39,8476,5984,14,Yes,No,monkey,221,goat,233,dragon,250
7863,4880,7676,1084,2518,6394,15,Yes,Yes,dragon,244,monkey,251,horse,282
4997,2242,6344,2970,4493,7814,12,Yes,Yes,monkey,232,dragon,248,goat,252
7644,9139,6357,4901,2990,9950,40,Yes,Yes,rabbit,261,ox,273,pig,303
933,2593,7296,1923,4609,4100,10,Yes,No,dragon,168,monkey,173,goat,186
3069,8466,7987,7125,4213,7797,39,Yes,No,rabbit,246,ox,255,pig,258
7216,1093,8682,290,5812,4379,37,Yes,No,pig,192,tiger,202,rabbit,215
7907,9955,3573,4397,7055,9740,14,Yes,Yes,goat,323,monkey,323,horse,335
2336,5408,8466,5202,1977,5735,23,Yes,Yes,rat,223,dragon,226,tiger,241
4875,6932,2700,4223,9461,9267,10,Yes,No,goat,272,monkey,274,horse,297
5412,9329,5738,7721,7700,5810,40,Yes,No,ox,252,rabbit,272,pig,274
614,9422,6044,1196,6023,2051,38,Yes,No,pig,177,dragon,180,ox,181
9925,476,5845,7309,259,7937,26,Yes,Yes,dog,231,rat,242,snake,260
8122,1633,8052,535,4099,8223,38,Yes,No,rabbit,217,pig,229,ox,235
3091,7211,4235,9558,5328,9576,10,Yes,Yes,goat,285,horse,291,rooster,299
2021,5169,1372,8260,3072,2941,29,Yes,No,horse,149,goat,165,rooster,168
